,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary,new_overall_score
82,Standard Chartered,Data Governance Analyst - Mox,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1969
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$10 to $25 million (USD)
Visit Standard Chartered Website","3.8
★★★★★
77 %
Recommend to a friend
90 %
Approve of CEO
1489 Ratings","Job: Technology
Primary Location: Asia-Hong Kong-Hong Kong
Schedule: Full-time
Employee Status: Permanent
Posting Date: 28/Apr/2021, 2:28:38 AM
Unposting Date: Ongoing
About Standard Chartered
We are a leading international bank focused on helping people and companies prosper across Asia, Africa and the Middle East.
To us, good performance is about much more than turning a profit. It's about showing how you embody our valued behaviours - do the right thing, better together and never settle - as well as our brand promise, Here for good.
We're committed to promoting equality in the workplace and creating an inclusive and flexible culture - one where everyone can realise their full potential and make a positive contribution to our organisation. This in turn helps us to provide better support to our broad client base.
Show More",NA,3.8
83,Pernod Ricard,Data Analyst,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1975
Type
Company - Private
Industry
Food & Beverage Manufacturing
Sector
Manufacturing
Revenue
$5 to $10 billion (USD)
Visit Pernod Ricard Website","4.1
★★★★★
82 %
Recommend to a friend
96 %
Approve of CEO
273 Ratings","Key Responsibilities:
Understand business issues and translate these into technical needs
Creating simple and maintainable dashboards, reports and presentations to communicate the findings to business users
Partner with our data science teams to make sure our work is consistent according to business needs
Monitor usage & results of our algorithms
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with deployment team to prioritize business and information needs
2021-03-18-07:00
Show More",NA,4.1
84,WonderSmile,Business Analyst (Marketing),Hong Kong,"Company Overview
Size
51 to 200 Employees
Type
Unknown
Industry
Health Care Services & Hospitals
Sector
Health Care
Revenue
Unknown / Non-Applicable
Visit WonderSmile Website","4.6
★★★★★
92 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","About the Role
We are fast-paced and rapidly growing company that specializes in teeth straightening, using state of the art technology to give customers access to affordable products of the highest quality.
The Marketing Analyst is responsible for monitoring and analysing all marketing and campaign activity across the global business. Reporting to the Global Head of Marketing, you will be required to produce complex data assets and insights to empower the team to make data-driven decisions. You are required to understand and translate analytical insights into simple recommendations and business solutions.
The ideal candidate will have experience within a global e-commerce business and a comprehensive understanding of the digital marketing landscape and platforms.
What you'll do:
Show More",HK$360K - HK$420K (Employer Est.),4.6
85,Axioma,Market Data Services Analyst,Hong Kong,"Company Overview
Size
501 to 1000 Employees
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Axioma Website","3.6
★★★★★
61 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Overview:
Does working for a company that embodies innovation, transparency and creativity excite you? Then, we have the place for you.
Bringing together Axioma, DAX and STOXX to form Qontigo represents a partnership beyond standard, creating an investment intelligence advantage with our clients, from risk to return. Qontigo combines the most sophisticated risk analytics and portfolio-construction tools in the market with globally recognized leadership in creating market-defining indices.

We Innovate. We Create. We Collaborate

Qontigo is currently seeking a qualified professional to join our Market Data Services team as a full-time employee located in our Hong Kong office. In this role, the successful candidate will produce high quality value-added data, together with other financial market data for the research and application teams, and clients, using sophisticated quantitative and programming skills. The Analyst will work closely with other team members in the Development, Research, and Client Support business units.
Responsibilities:

Qualifications:



Show More",NA,3.6
86,LSEG (London Stock Exchange Group),Research Analyst,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1698
Type
Company - Public
Industry
Stock Exchanges
Sector
Finance
Revenue
$2 to $5 billion (USD)
Visit LSEG (London Stock Exchange Group) Website","3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
83 Ratings","Role Purpose

Responsible for the development of information based products , and to provide support to the Research team on projects as required.

Role Responsibilities
Support the development of risk-based, factor-based and alternatively weighted indices employing quantitative portfolio investment techniques.
Provision of an index strategy simulation service.
Carry out equity investment research to support the creation of research papers, materials and other product collateral.


Show More",NA,3.9
87,Sapientia Technologies Limited,"Quantitative Analyst, Junior Level",Hong Kong,NA,NA,"We are a data-driven technology firm headquartered in Hong Kong, with office in Southern China. Leveraging cutting-edge technologies, our scientists, engineers, and investment professionals run through terabytes of data every day to continuously deliver investment and trading decisions. Our partners have worked at the global top quantitative hedge funds and proprietary trading departments of investment bank, with impressive results across major stock, futures, and FX markets.
Our team members graduated from Ivy League and global top ranked universities (Caltech, UC Berkeley, UCL, HKU, HKUST) and has worked for industry leading companies with different specializations, including database engineers, robot engineers, and 5G communication experts etc. Despite being a young company, we have achieved many milestones in winning various industry competitions as well as being widely recognized by professional institutions locally and internationally.



Show More",NA,0.0
88,NielsenIQ,"Analyst, Customer Success",Quarry Bay,"Company Overview
Size
10000+ Employees
Founded
1923
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit NielsenIQ Website","3.9
★★★★★
81 %
Recommend to a friend
98 %
Approve of CEO
49 Ratings","Job Description

About the job
NielsenIQ’s Customer Success (CS) is a modern service team transforming the way we work with our clients by using new tools and systems to support our teams to get the job done efficiently and effectively. The Customer Success team partners with clients to fuse data, science, and the talents of our people to provide measurement and improvement for the clients and markets we serve. We are the key link between NielsenIQ and clients.

Responsibilities
To execute projects with limited supervision by compiling, analyzing, and interpreting sales data, writing client reports, and constructing presentations.





Show More",NA,3.9
89,Société Générale,INTERN: Data Analytics (Operational Risks),Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1864
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$10+ billion (USD)
Visit Société Générale Website","3.7
★★★★★
74 %
Recommend to a friend
78 %
Approve of CEO
1672 Ratings","Responsibilities
Responsibilities :
Part of the Operational Risk management team
The intern will take part of studies to explore the following : capture, gather and consolidate several data stream into structured format for advanced analytics.
Leverage on scripting capacity to develop analytics in Python
App general data analytics concepts to identify pattern, outliners, etc.
Create classification algorithm and leverage on machine learning techniques
Profile required


Show More",NA,3.7
90,The Hong Kong Jockey Club,Senior Big Data Analytics Modelling Analyst (Retail),Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1884
Type
Non-profit Organisation
Industry
Museums, Zoos & Amusement Parks
Sector
Arts, Entertainment & Recreation
Revenue
$100 to $500 million (USD)
Visit The Hong Kong Jockey Club Website","3.6
★★★★★
60 %
Recommend to a friend
88 %
Approve of CEO
51 Ratings","The Department
The Customer and International Business Development Division (C&I) is responsible for providing quality wagering experience to local and overseas customers of The Hong Kong Jockey Club. It operates 88 Race Meetings a year, 37 Simulcasts days, a thrice-weekly Mark 6 Draw, 7X24 Digital Channels, 7X24 Football Betting Services on over 11,000 different leagues per year. The ultimate aim is to provide an impressive total customer experience leading to sustainable turnover growth in a responsible manner.
With around 100 off-course betting branches and 2 racecourses, Retail and Telebet Services Department is committed to provide quality and efficient service to our customers throughout Hong Kong.
The Job
Show More",NA,3.6
91,Chappuis Halder & Co.,Business Analyst / Data Analyst,Hong Kong,"Company Overview
Size
51 to 200 Employees
Founded
2009
Type
Company - Private
Industry
Consulting
Sector
Business Services
Revenue
Unknown / Non-Applicable
Visit Chappuis Halder & Co. Website","3.7
★★★★★
63 %
Recommend to a friend
86 %
Approve of CEO
33 Ratings","The role will be joining the APAC data project team to integrate technology into existing corporate loan setup.
Responsibilities
Pre-project discovery of system behaviour / business processes
Requirement elicitation via individual user interview or workshops
Preparation of customer / staff journeys and user stories for agile delivery
Act as the focal communication point between development team and stakeholders through system / product development life cycle
Test case preparation, testing and live-verification
Run show & tell sessions (project / enhancement demonstrations)
Show More",NA,3.7
92,中国太平人寿保险(香港)有限公司,Data Analyst,Hong Kong,NA,"4.0
★★★★★
79 %
Recommend to a friend
100 %
Approve of CEO
3 Ratings","工作职责:
Identifying policy management and customer intelligence related analysis needs, responsible for data collecting, consolidating and processing
Assisting team to prepare various data analysis and management reports
Responsible for monitoring quality management related KPI achievement, coordinate with channels, checking regularly on the implementation of the management measures
Facilitating team (users) to prepare user requirements, performing data quality review, assisting users to improve data quality and solve data quality issues
Providing technical support for system enhancements
Provide team's administrative works and other assigned tasks

任职资格:
Bachelor's degree or above in Mathematics, Statistics, Finance, or related disciplines
With a minimum of 1 year’s work experience in data handling, experience in life insurance industry or financial institution are highly preferred
Proficiency in using Microsoft Office , especially in Excel
Excellent Problem solving, communication, interpersonal and organizational skills
Fluent in both Cantonese and Chinese
Show More",NA,4.0
128,,TRAINEE: Data Analyst,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1968
Type
Company - Public
Industry
Banks & Credit Unions
Sector
Finance
Revenue
$5 to $10 billion (USD)
Visit DBS Bank Website","3.8
★★★★★
73 %
Recommend to a friend
94 %
Approve of CEO
1249 Ratings","DBS is a leading financial services group in Asia, with over 280 branches across 18 markets. Headquartered and listed in Singapore, DBS has a growing presence in the three key Asian axes of growth: Greater China, Southeast Asia and South Asia.
Banking Talent Programme is a joint programme with the Hong Kong Monetary Authority (HKMA) to support young talent development in the banking industry, particularly in times of the current economic situation. We are now offering 6-month employment opportunities to fresh undergraduates from the local/overseas universities. Under this Programme, you will be gaining real-world commercial experience to understand more about the businesses and the culture in DBS.

Duration: September 1st, 2021 to February 28th, 2022
Business Unit: Across different Business Units and Support Units
In house training and centralized professional training will be provided; A designated mentor/supervisor will be assigned











Show More",NA,3.8
129,BNP Paribas,"Data Analyst, IG Hub APAC",Hong Kong,"Company Overview
Size
10000+ Employees
Founded
2000
Type
Company - Public
Industry
Banks & Credit Unions
Sector
Finance
Revenue
$10+ billion (USD)
Visit BNP Paribas Website","3.7
★★★★★
75 %
Recommend to a friend
88 %
Approve of CEO
1779 Ratings","In Asia Pacific, BNP Paribas is one of the best-positioned international financial institutions with an uninterrupted presence since 1860. Currently with over 18,000 employees* and a presence in 13 markets, BNP Paribas provides corporates, institutional and private investors with product and service solutions tailored to their specific needs. It offers a wide range of financial services covering corporate & institutional banking, wealth management, asset management, insurance, as well as retail banking and consumer financing through strategic partnerships.

Worldwide, BNP Paribas has a presence in 68 markets with more than 193,000 employees. It has key positions in its three main activities: Domestic Markets and International Financial Services (whose retail-banking networks and financial services are covered by Retail Banking & Services) and Corporate & Institutional Banking, which serves two client franchises: corporate clients and institutional investors. Asia Pacific is a key strategic region for BNP Paribas and it continues to develop its franchise in the region.


Inspection Générale (IG) is the internal audit function of BNP Paribas Group. IG performs periodic risk-based reviews of the Business, Operations and Functions to help management to identify, measure, monitor and control risks in the bank.











Show More",NA,3.7
132,ACW Solutions Limited,Data Science Analyst (Fresh Graduates Welcome),Hong Kong,NA,"4.0
★★★★★
79 %
Recommend to a friend
100 %
Approve of CEO
3 Ratings","ACW Solutions Ltd. is one of the most reputable Microsoft Dynamics partners in the Asia Pacific Region.
With well-established and diversified customer base, we are also one of the few Microsoft Dynamics partners to earn “Certified for Microsoft Dynamics” accreditation which represents a significant step in providing the best of breed information technology solutions to meet Microsoft highest standards.

To support our expansion, we now invite high caliber professionals to join us.

ACW Solutions (member of ACW Group) is one of the most reputable Microsoft Dynamics ERP partners in the Asia Pacific Region.
With well-established and diversified customer base, we are also one of the few Microsoft Dynamics ERP partners to earn “Certified for Microsoft Dynamics” accreditation which represents a significant step in providing the best of breed information technology solutions to meet Microsoft highest standards.


https://www.facebook.com/ACWSHK/
https://www.linkedin.com/company/acw-solutions-limited-a-member-of-acw-group/
To support our expansion, we now invite high caliber professionals to join us.

Job Responsibilities

Prepare technical marketing materials
Engage in technical pre-sale activities
Assist to deliver data science projects using opensource and/or cloud technologies
Provide technical support to clients
Prepare internal training for non-technical colleagues
Requirements
Degree holder
Knowledge in statistics, machine learning, deep learning and MLOps
Knowledge in JavaScript and Python; Knowledge in Scala is an advantage
Knowledge opensource technologies such as PostgreSQL, Redis, Docker and etc.
AWS / Azure certifications are advantages
Good command of written and spoken Mandarin and English
Fresh graduates and less experienced candidates are welcomed
More experienced candidates will be considered for the junior associate
position

We offer competitive remuneration package and attractive employee benefits including 5-day work, 12-14 annual leave, medical leave, medical insurance, bank holiday, on-job training, education allowance and discretionary bonus.

Interested parties shall submit your application to ""APPLY NOW"".
All information will be treated in the strictest confidence and used only for recruitment purposes. Applicants not invited for interview within four weeks from the date of the posting may consider their applications unsuccessful. Unsuccessful applications will be destroyed after the recruitment exercise.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent
Show More",NA,4.0
134,MediConCen Limited,Data Analyst (Intern),Kwun Tong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit MediConCen Limited Website","3.4
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Job description
Perform database testing and development, reporting and ETL tasks
Coordinate with IT teams and users to conduct data analysis and data cleansing exercise
Provide production support and troubleshooting on data management systems
Provide support to user training, production deployment, problem diagnosis and reporting, and post implementation review
Design and execute necessary testing procedures to ensure the implementation quality
Contribute to the continuous improvement of development processes and implementation of DevOps to enable higher productivity and effectiveness
Setup and maintain necessary documentation over the implementation cycle



Show More",NA,3.4
135,Morgan Stanley,Research - China Consumer Team - Analyst,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1935
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$10+ billion (USD)
Visit Morgan Stanley Website","4.0
★★★★★
81 %
Recommend to a friend
95 %
Approve of CEO
3940 Ratings","Research - China Consumer Team - Analyst
Job Number:
3178835
POSTING DATE: Jun 17, 2021
PRIMARY LOCATION: Non-Japan Asia-Hong Kong-Hong Kong-Hong Kong
JOB: Research
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Analyst
DESCRIPTION
Primary responsibilities are but not limited to:


Show More",NA,4.0
136,Dairy Farm,Financial Analyst (Job Rotation Opportunities),Quarry Bay,"Company Overview
Size
10000+ Employees
Founded
1886
Type
Company - Public
Industry
Grocery Stores & Supermarkets
Sector
Retail
Revenue
$25 to $50 million (USD)
Visit Dairy Farm Website","3.0
★★★★★
39 %
Recommend to a friend
55 %
Approve of CEO
45 Ratings","The Finance Analyst role is designed to be rotational in nature and provide candidates with exposure to different departments within the Finance function initially over a 2-3 year period. The rotations will support the candidate’s ability to develop a deeper understanding of Dairy Farm’s businesses, as well as a clearer understanding of areas for future career path development.

Finance Analysts will support the implementation of key projects as part of Dairy Farm’s multi-year transformation programme. Examples include projects in Commercial Finance, Supply Chain, Store Operations, Digital, Corporate Finance. Candidates will work on high profile projects within Dairy Farm and have significant exposure to senior management.

The Job
Build and maintain effective working relationships with various business units to drive commercial excellence for sustainable and profitable growth via projects in process improvement, optimization and change management



Show More",NA,3.0
137,Morgan Stanley,"Business Analyst (Front to Back Data Quality), Associate",Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1935
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$10+ billion (USD)
Visit Morgan Stanley Website","4.0
★★★★★
81 %
Recommend to a friend
95 %
Approve of CEO
3940 Ratings","Business Analyst (Front to Back Data Quality), Associate
Job Number:
3177720
POSTING DATE: Jun 9, 2021
PRIMARY LOCATION: Non-Japan Asia-Hong Kong-Hong Kong-Hong Kong
EDUCATION LEVEL: Bachelor's Degree
JOB: Business Analysis
EMPLOYMENT TYPE: Full Time
JOB LEVEL: Associate
DESCRIPTION











Show More",NA,4.0
141,Société Générale,TRAINEE: HR Data Analyst,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1864
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$10+ billion (USD)
Visit Société Générale Website","3.7
★★★★★
74 %
Recommend to a friend
78 %
Approve of CEO
1672 Ratings","Responsibilities
Responsibilities :
Data Exploration / Digitalization’s:
Work with the business teams and sponsor to identify issues, challenge requirements and advise on the good solutions using a data driven approach
Identify internal or external data sources / datasets / technologies relevant to answer those objectives
Do exploratory data analysis to identify patterns, trends and discover insights in order to refine the objectives
Show More",NA,3.7
144,General Reinsurance AG,Data Analytics Associate (Contract),Hong Kong,"Company Overview
Size
501 to 1000 Employees
Founded
1846
Type
Unknown
Industry
Insurance Carriers
Sector
Insurance
Revenue
Unknown / Non-Applicable
Visit General Reinsurance AG Website","3.5
★★★★★
47 %
Recommend to a friend
77 %
Approve of CEO
25 Ratings","Data Analytics Associate (Contract)
Shape Your Future With Us
General Re Corporation, a subsidiary of Berkshire Hathaway Inc., is a holding company for global reinsurance and related operations, with more than 2,000 employees worldwide. It owns General Reinsurance Corporation and General Reinsurance AG, which conduct business as Gen Re.
Gen Re delivers reinsurance solutions to the Life/Health and Property/Casualty insurance industries. Represented in all major reinsurance markets through a network of more than 40 offices, we have earned superior financial strength ratings from each of the major rating agencies.
Our Asia Life/Health Unit is seeking to appoint a suitably qualified professional to be based in our Hong Kong office as a Data Analytics Associate (Contract). Suitable candidates in Singapore may also be considered to be based in the Singapore office.










Show More",NA,3.5
145,DBS Bank,"Specialist, Data Analyst, Corporate Banking",Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1968
Type
Company - Public
Industry
Banks & Credit Unions
Sector
Finance
Revenue
$5 to $10 billion (USD)
Visit DBS Bank Website","3.8
★★★★★
73 %
Recommend to a friend
94 %
Approve of CEO
1249 Ratings","Business Function
Corporate and Investment Banking provides corporate customers with a full range of commercial banking products and services, including cash management services, current accounts, time deposits, trade finance, working capital finance, term loans and foreign exchange. Through our continued commitment, DBS has cultivated long-standing relationships with its customers in the region that are based on account relationship management, service differentiation, product development and rigorous credit standards.

Responsibilities
Acquire and maintain an integrated database to facilitate analytics and data mining for portfolio management, quantitative analysis and data-driven decision making.



Show More",NA,3.8
148,Macquarie Group Limited,Risk Surveillance Analyst,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1969
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$5 to $10 billion (USD)
Visit Macquarie Group Limited Website","4.0
★★★★★
82 %
Recommend to a friend
98 %
Approve of CEO
487 Ratings","Due to ongoing growth in our business, our Risk Management Group is expanding its team of surveillance analysts and additional people are required to support the regional surveillance in Asia.
You will be working closely with the team to monitor trading activities across its business units and will be reporting to the Asia Regional Head of Surveillance. In particular, your responsibilities will be spilt off into trade and electronic communication surveillance, and voice surveillance. Your daily responsibilities will be conducting review on detection of potential market manipulation, internal control deficiencies, error in trading algorithms, insider trading, the misuse of electronic communications. As part of the regional surveillance team, you will be working closely with business stakeholders, compliance team and financial crime risk team.
To be successful in this role you have exposure to equities, futures, FX and/or fixed income trading. You will have an experience in reviewing and determining the importance of alerts, escalating appropriately and ensuring that all remediation steps are completed and documented. You should demonstrate a good understanding of the role of Compliance within the banking and financial services industry.









Show More",NA,4.0
149,Cogney,Data Analytics Intern (Paid Internship),Central,NA,NA,"Work with great people, grow your skills, and make a difference for some of the top companies in the world.
About Us
We're a results-driven digital marketing agency in Central whose clients include Fortune 500 companies and well-funded startups.
About You
You have an interest in data science, digital marketing and/or ecommerce
Would consider yourself good at Excel and may or may not have experience with Tableau, PowerBI, and Google Data Studio
Show More",NA,0.0
150,foodpanda Hong Kong,Data and Insights Analyst,Hong Kong,"Company Overview
Size
1001 to 5000 Employees
Founded
2012
Type
Company - Private
Industry
Internet
Sector
Information Technology
Revenue
Unknown / Non-Applicable
Visit foodpanda Hong Kong Website","3.8
★★★★★
69 %
Recommend to a friend
89 %
Approve of CEO
126 Ratings","'Hungry to make a difference? Then foodpanda may be the place for you!'

At foodpanda, we're on a mission to redefine customers' food and shopping experience as a multifaceted online platform across the 14 countries we operate in. We're all about bringing on the smartest and brightest minds as we continue to grow in a fast-moving and agile environment, and hiring those who can thrive in an energetic and hardworking start-up culture. We strive to become everybody's most loved delivery platform, however, this won't happen without some really awesome people!

We are looking for a highly-driven and motivated Data and Insights Analyst to join our fun, professional and dedicated Data and Insights Team based here in Hong Kong. As a passionate data and insights enthusiast, you will be empowered to find the most effective and visually appealing ways of making data and insights available to all departments in the foodpanda HK team. Wait no longer and join us if you want to make a direct and visible impact and contribute to large-scale success!

Roles and Responsibilities

Design, build and maintain state-of-the art reports on tableau to empower the local team to make optimal business decisions;
Responsible for data fetching and SQL querying upon request;
Conduct thorough, insightful and skilfully presented deep-dives into specific business topics and trends;
Spearhead ad-hoc projects such as report automation systems, dashboard creation and continuous maintenance of the data pipeline;
Responsible for data cleaning and management of data;
Supporting and challenging the Management team towards making optimal data-driven decisions

Qualifications and Requirements

A bachelor's degree in Computer Science, Applied Mathematics, Economics or in other relevant fields;
Minimum 1 year of working experience in high growth start-ups, tech companies, consulting or business intelligence;
Fresh graduates with solid experience in the application of Tableau and SQL will also be considered;
Fundamental understanding of e-commerce/e-market places and are capable of driving projects to add value to the company;
Strong analytical skills and passion for data;
Proficient knowledge of Excel, SQL and Tableau is a MUST;
Knowledge of VBA, Python or R would be an advantage;
Proficient communication in English (Cantonese is a plus);

What We Offer

A dynamic, fast paced environment
A vibrant and international team with diverse background
Steep learning curve in e-commerce & entrepreneurship
Learning & development programs and skills trainings
Flexible working hours and agile company with a flat hierarchical structure
Monthly staff allowance and corporate discounts including at restaurants, gyms and many more
Agile office environment with a fully-stocked beverage fridge and self-serve beer
Show More",NA,3.8
151,TBM The Beauty Medical,Data Analyst,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
66 %
Approve of CEO
1688 Ratings","The Beauty Medical (簡稱TBM) 成立於2005年,致力發展醫學美容業務,提供一站式專業醫學美容、高效瘦身管理及生活美容服務。我們擁有豐富經驗的專業醫生團隊,並從國外引入各種嶄新先進的高能量美容儀器及技術。The Beauty Medical 更為顧客度身訂造獨一無二的高端美容療程服務,務求全力打造專業醫美品牌形象。由成立至今,The Beauty Medical 已於中港兩地坐擁近30間全資美容中心,發展一日千里,雄厚實力毋庸置疑。

The Data Analyst will work with leadership to set TBM strategy, align teams around the strategy, and collaborate with business partners to deliver on it. This role will have the opportunity to collaborate with various business units in both Hong Kong and China to run deep analyses, apply structured thinking to critical business questions, generate insights, and develop strategic initiatives to improve the Company’s operations. You will responsible for target database list generation, data extraction, campaign tracking, business performance reporting, customer data analysis and provide fact-based data driven insights on customer behavior to support and drive business initiatives.

Your role

Perform data extraction to fulfill marketing programs’ requirements

Compile regular and customized reports related to business performance, service usage and customer analysis

Apply statistical modeling to identify business opportunities and areas for improvement

Perform campaign tracking, assist in execution of standard data mapping jobs and verify data sets

Reveal and uncover insights by exploring and mining structured and unstructured data

Provide ongoing database support for segment marketing activities with well mechanism in maintaining an accurate and up-to-date database

Conduct user acceptance test of in-house-developed applications, as well as develop supervised and unsupervised machine learning models

Apply analytical methods and algorithms to build data products that generate business insights and improve operational efficiency

To succeed in this role

University graduate in Statistics, Computer Science, Information Technology, Data Science, Engineering or other relevant disciplines

1 - 3 years' working experience in programming, data extraction, MIS

Proficiency in relational databases - SQL, SAS, VBA and FoxPro, with knowledge and experience on Cognos, Excel, Python, Java, Java script

Practical experience in working with BI visualization tools (e.g. Qlik View, Qlik Sense, Tableau) is an advantage

Technical knowledge on different server operating systems is preferred

Good analytical and problem solving skills, able to work under tight timeline

Self-motivated and able to accomplish multiple tasks with minimal supervision

Good interpersonal and communication skills and able to work with people at all levels

Good command in both spoken and written English

Candidate with more experience will be considered for the position of Senior Data Analyst.

Please apply in confidence with full resume, expected salary and availability by clicking “Apply Now” button.

https://www.thebeauty.hk

The information provided will be used for selection purpose only. All information of unsuccessful applicants will be destroyed within six months.
Show More",NA,3.9
152,DBS Bank,"Officer, Business Analyst, T&M (HKMA Banking Talent Programme 2021)",Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1968
Type
Company - Public
Industry
Banks & Credit Unions
Sector
Finance
Revenue
$5 to $10 billion (USD)
Visit DBS Bank Website","3.8
★★★★★
73 %
Recommend to a friend
94 %
Approve of CEO
1249 Ratings","DBS is a leading financial services group in Asia, with over 280 branches across 18 markets. Headquartered and listed in Singapore, DBS has a growing presence in the three key Asian axes of growth: Greater China, Southeast Asia and South Asia.
Banking Talent Programme is a joint programme with the Hong Kong Monetary Authority (HKMA) to support young talent development in the banking industry, particularly in times of the current economic situation. We are now offering 6-month employment opportunities to fresh undergraduates from the local/overseas universities. Under this Programme, you will be gaining real-world commercial experience to understand more about the businesses and the culture in DBS.

Duration: September 1st, 2021 to February 28th, 2022
Business Unit: Across different Business Units and Support Units
In house training and centralized professional training will be provided; A designated mentor/supervisor will be assigned









Show More",NA,3.8
153,Swire Properties,Customer Data Analyst (2-year contract),Hong Kong,"Company Overview
Size
1001 to 5000 Employees
Founded
1972
Type
Company - Private
Revenue
$1 to $2 billion (USD)
Visit Swire Properties Website","3.7
★★★★★
94 %
Recommend to a friend
100 %
Approve of CEO
10 Ratings","We are looking for a talented Customer Data Analyst to be part of our dynamic team. The candidate will be responsible for delivering actionable insights and visualization by conducting analytics with the consolidated customer database. The insights will be used to facilitate data-led and customer-centric business strategies and action plan formulation. He/she should have a strong data mining mindset with a passion for storytelling with data, and is able to develop data analytical models to gain deep understanding of customers of different portfolios in both China and HKSAR.

Key Responsibilities:
Provide actionable insights of various membership programmes and marketing activities within Swire Properties. Deliver timely and detailed analysis on demographics, behaviours and purchasing propensities of new and existing customers.




Show More",NA,3.7
155,Crypto.com,Data Analyst / Data Scientist,Hong Kong Island,"Company Overview
Size
201 to 500 Employees
Founded
2016
Type
Company - Private
Industry
Internet
Sector
Information Technology
Revenue
Unknown / Non-Applicable
Visit Crypto.com Website","4.4
★★★★★
90 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","About the company:

CRYPTO.com, the pioneering payments and cryptocurrency platform, formerly known as Monaco, seeks to accelerate the world’s transition to cryptocurrency. Its MCO branded consumer financial services, including the MCO Visa Card, MCO Wallet app, and MCO Token embrace a vision of Cryptocurrency in Every Wallet™.CRYPTO.com is headquartered in Hong Kong.

MCO is redefining how money is being moved, spent and invested. MCO is democratizing blockchain technology by designing beautiful, simple and useful financial services that have a lasting, positive impact on people’s lives.










Show More",NA,4.4
192,DFS Group,Data Privacy Analyst,Hong Kong,"Company Overview
Size
5001 to 10000 Employees
Founded
1960
Type
Subsidiary or Business Segment
Industry
Gift, Novelty & Souvenir Stores
Sector
Retail
Revenue
$500 million to $1 billion (USD)
Visit DFS Group Website","4.5
★★★★★
84 %
Recommend to a friend
99 %
Approve of CEO
41 Ratings","JOB DESCRIPTION
DFS Group Limited is the world's leading luxury retailer catering to the traveling public. We have attained this position by listening to our clientele, adapting to changes in our customer base, and continually responding with innovative concepts. Our strength lies in our strategic brand partnerships, groundbreaking store and product development, superior assortments, and targeted marketing programs. As we continue to perfect our business model, improve our offerings and expand into emerging markets, we are well positioned to remain the world's leading luxury retailer. In this role, you will need to have the in-depth know-how on data protection laws and practices in HK, European, P.R.C. and other countries and regions, as well as GDPR, and a strong desire to learn how these regimes relate to both customer and employee personal data.

Key Responsibilities:




Show More",NA,4.5
199,Deskimo,DATA ANALYST (SUMMER INTERN 2021),Hong Kong,NA,NA,"JD - DATA ANALYST (HONG KONG)
*
ABOUT DESKIMO
Working flexibly from anywhere is now made possible with Deskimo! We have created a workspace booking platform that allows our users to discover and access shared workspaces near them on a pay-per-minute basis, say no more to expensive fixed rentals and hours lost getting stuck in traffic and daily commute. Just download our free App, find the workspace that best suits your needs, say for a half-day of work or hour-long business meeting, show up and enjoy your on-demand flexible workspace, it’s simple like that.
*
*








Show More",HK$126K (Employer Est.),0.0
