,overall_score,company,title,location,EmpBasicInfo,employerStats,JobDescriptionContainer,salary
344,5.0,Cityray Technology (China)Ltd,System Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Cityray Technology (China)Ltd Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Summary
Industry:
Information Technology
Job Category / Function:
IT (System Engineer / Network Engineer)
IT (Network & System)
IT (Application - Software)
IT (Others)
Job Position Level:
General
Employment Term:
Full Time
Min. Edu. Level Req:
Diploma


Show More",HK$198K - HK$480K (Glassdoor Est.)
345,NA,NA,NA,NA,"Company Overview
Size
Unknown
Type
Company - Public
Revenue
Unknown / Non-Applicable
Visit Cityray Technology (China)Ltd Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Summary
Industry:
Information Technology
Job Category / Function:
IT (System Engineer / Network Engineer)
IT (Network & System)
IT (Application - Software)
IT (Others)
Job Position Level:
General
Employment Term:
Full Time
Min. Edu. Level Req:
Diploma


Show More",NA
378,NA,OneSky Technology and Service (China) Limited,Operations Engineer/Analyst,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","OneSky is striving to be the World #1 Game Translation company!
With our professional translators worldwide, we provide localization services in 50+ languages and serve many of the world's leading app, mobile game, web, and e-commerce companies, including Sony, Garena, and Ubisoft.
-----
We are looking for an Operation Analyst to help us improve the existing Recruitment system. If you are a data-oriented person, then this is the perfect role for you!
Responsibility:
Translator Recruitment
1. Improve Recruitment Process by collecting and analyzing data
2. Identify bottlenecks and brainstorm solutions
3. Work with Engineer to automate the process
4. Create Dashboards to closely monitor progress










Show More",HK$240K - HK$360K (Employer Est.)
394,NA,Alliance E&M Engineering Ltd,Assistant Engineer/Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Alliance E&M Engineering Ltd Website",NA,"We are an expanding E&M contracting firm and URGENTLY seeking for high caliber persons to join our team: -

Job Duties:
Responsible for the project execution and management
Liaise, communicate and coordinate with different parties including sub-contractors for on-site progress and ensure workmanship is according to contract standards.
Coordinate with clients, suppliers, sub-contractors and technical staff
Handle other ad-hoc projects/tasks as assigned.

Job Requirements:
Degree /Higher Diploma/Certificate in Electrical / Mechanical / BS Engineering Discipline
2 years’ experience in building services installation
Good communication and presentation skills
I nterested parties, please send your detailed resume including employment history and expected salary by clicking ""APPLY NOW"".
Information provided by applicants will be treated in strict confidence and used only for recruitment purposes. The Company will retain unsuccessful job applications for a maximum period of one year.
All applications applied through our system will be delivered directly to the advertiser and privacy of personal data of the applicant will be ensured with security.

Full-time,Permanent
Show More",NA
399,NA,RC Labs Ltd.,Machine Learning Engineer / Data Scientist (Battery Modeling),Hong Kong,NA,"4.0
★★★★★
79 %
Recommend to a friend
100 %
Approve of CEO
3 Ratings","RC Labs designs and manufactures intelligent battery management systems for electric vehicles and stationary energy storage. RC Labs was incorporated in Nov 2019 capitalizing on 7 years of research at The Hong Kong Polytechnic University on how to enhance management for Li-ion batteries. We have offices in Hong Kong S.A.R. and Bangalore, India.
We are currently working with EV OEMs, battery pack manufacturers and robotic companies. The team is always scouting for exceptional talents in the areas of power electronics, battery engineering, embedded systems design, UI/UX and data science. We encourage you to contact us if you’re interested in the work we do.
Please follow us in https://www.linkedin.com/company/rclabs112019 and send us an email to joinus@rclabs.co!

Role & Duty:
Lead the development projects of machine learning software and training of the algorithm / models
Design software architecture for web-based and mobile applications
Implement back-end applications for data collection and processing
Work with hardware and software engineers in battery modeling / optimization research and software product development


PhD holder in Computer Science, Electronic Engineering, Information Engineering or relevant disciplines
Proficient in programming such as Java, Javascript, C/C++, Python, MATLAB Verilog or HTML5
Proficient in machine learning algorithm design and optimization using cloud-based tools and database
Experience in developing iOS/Android application is a plus
Experience / knowledgeable in battery / electrical system modelling is plus

A quick learner and willing to pick up new skills with minimal or no training
Show More",NA
406,NA,SIRIUS Partners Ltd,Data Engineer- Top Financial Institution,Hong Kong,"Company Overview
Size
51 to 200 Employees
Type
Self-employed
Revenue
Unknown / Non-Applicable
Visit SIRIUS Partners Ltd Website",NA,"Sirius Partners
IT / Technology
Hong Kong
Posted 2 weeks ago

Our client a top financial institution is currently seeking a Data Engineer to support some firm wide exciting data initiatives.
Responsibilites:
Responsible for the tactical governance of project team members and their work and deliverables


Show More",NA
407,2.0,CONTROL AUTOMATION,Engineer / Assistant Engineer,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit CONTROL AUTOMATION Website","2.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Job Duties / Responsibilities:
Responsible for planning, design, project execution and supervision of site work coordination, attending site meetings, project commissioning and handover to ensure all jobs are handed over on time
Provide timely reports and cost analysis to management
Requirement:
Higher diploma or above in Electrical Engineering or related disciplines
Must be a holder of REW A
Possess Construction Industry Safety Training Certificate (Green Card)


Show More",NA
408,NA,NA,NA,NA,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit CONTROL AUTOMATION Website","2.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Job Duties / Responsibilities:
Responsible for planning, design, project execution and supervision of site work coordination, attending site meetings, project commissioning and handover to ensure all jobs are handed over on time
Provide timely reports and cost analysis to management
Requirement:
Higher diploma or above in Electrical Engineering or related disciplines
Must be a holder of REW A
Possess Construction Industry Safety Training Certificate (Green Card)


Show More",NA
441,5.0,Pinpoint Asia Limited,Electronic Trading Support Engineer - Global Capital Market FinTech,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pinpoint Asia Limited Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Provide analysis and troubleshooting for both buy-side and sell-side electronic trading platforms across multiple asset classes on Equity, Options, Futures, Fixed Income, and FX.
Provide incident management and resolution across technical issues.
Work with the engineering team and product teams to improve and prevent outages with future design and systems.
Communicate with external clients on technical support.
Partner with the account management team to provide a proactive engagement with the clients.
Coordinate with IT teams for projects and system implementations.




Show More",HK$245K - HK$420K (Glassdoor Est.)
442,NA,HGC Global Communications Limited,Data Analyst,Hong Kong,"Company Overview
Size
1001 to 5000 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit HGC Global Communications Limited Website","2.9
★★★★★
55 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","HGC Global Communications Limited (HGC) is a leading Hong Kong and international fixed-line operator. We own an extensive network and infrastructure in Hong Kong and overseas and provide various services. Our business covers 23 overseas offices in 5 continents, provides telecom infrastructure service to other operators and serves as a service provider to corporate and households. We provide full-fledged telecom, ICT solutions, data centre and broadband services for local, overseas, corporate and mass markets. We own and operate an extensive fibre-optic network, five cross-border telecom routes integrated into tier-one telecom operators in mainland China and connect with hundreds of world-class international telecom operators. Macroview Telecom Limited, a leading digital technology and IT infrastructure solutions provider is a HGC Group Company.

Responsibilities:
Formulate and implement various business strategies and plans for Business Intelligent and data analytics, includes marketing campaigns, data extract, customer list preparation, and promoting throughout the company to achieve the company's business and management. Conduct data design based on user business and technical requirements;

Analyze IB / local business operation, organize the company's annual, quarterly, and monthly production and operation analysis and work plan, supervise and coordinate the implementation among various functional departments accordingly. Prepare business and technical documentations and conduct user training;

Work closely with various business unit to implement the action plans and react responsively to any constraints and barriers;

Participate in ad-hoc data / analytic exercise to prepare and analyze customer data.


Degree holder in Data Science, Computer Engineering, Information Technology, Statistics or related disciplines.

2 years of experiencein customer analytic, data warehouse and BI platform, preferably in telecommunication industry.

Proficient in data analytics design and segmentation with PL/SQL, MS SQL and Python coding or correlation platform.

Knowledge, skills and experience in system design and development with all / some of the following technologies: Exposure in Design pattern, Java applications Framework would be an advantage.

Windows, Linux, IBM AIX;

Oracle, MySQL, MS SQL;

Java, JavaEE - Web, Website building (e.g. PHP, JavaScript & AngularJS - Jquery, Ajax), APEX, Python, Ruby;

BI tools: OBIEE / Discoverer, ETL: ODI, Oracle Weblogic, Web Security, Big-Data tool, like Hadoop / Splunk;

Strong communication and coordination skills, Self-motivated with analytical and problem solving capability.

Good command of written and spoken Chinese and English and proficient in Mandarin.

We offer competitive salary package and career development opportunity. Interested parties, please apply with full resume, present and expected salary, by clicking “APPLY NOW”. Please quote the reference number on the e-mail subject.

We are an equal opportunity employer and welcome applications from all qualified candidates. Information provided will be treated in strict confidence and only be used for consideration of your application for the relevant post within HGC Global Communications Limited. Personal data provided by job applicants will be used strictly according to our Personal Information Collection Statement, a copy of which will be available upon written request. Information of unsuccessful candidates will be destroyed within six months.

Full-time,Permanent
Show More",HK$204K - HK$430K (Glassdoor Est.)
443,3.0,Swing Consulting,Senior Data Analyst,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Swing Consulting Website","3.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Perform data extraction, transformation, data management and visualization into automated procedures
Provide maintenance for existing data analytic solutions
Understand the needs and identify the best data solutions
Provide and implement data analytic solutions
Help creating prototypes of data analytic solutions
Conduct research and data projects
A bachelor’s degree in Computer Science, Statistics, Data Science, or other related fields
At least 4 years of relevant working experiences
Experience in Python or R, SQL, Javascript, HTML development, and BI tools is preferred


Show More",HK$282K - HK$450K (Glassdoor Est.)
444,NA,Octopus Holdings,Data Scientist,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Octopus Holdings Website",NA,"Job Reference: (OCL/SAM/2020-074)

Job Responsibilities:
Act as a lead data strategist to work with data stakeholders in identifying opportunities for leveraging corporate data, strategizing and driving data-driven solutions to meet business goals
Identify and collect large datasets from different data sources
Explore innovative ways for data integration to enforce good governance on data management and regulatory compliance
Devise & tune algorithms and machine learning models to mine big data stores; perform data and error analysis; clean and validate data for uniformity and accuracy
Execute analytical experiments methodically to identify business opportunities, perform market and competitive analysis and solve various problems
Please send your resume, present and expected salary, contact details and quoting the reference number by e-mail to: recruit@octopus.com.hk
Show More",HK$264K - HK$500K (Glassdoor Est.)
445,3.8,Amazon Web Services Hong Kong,"Data Architect, Data Lake and Analytics",Causeway Bay,"Company Overview
Size
10000+ Employees
Founded
1994
Type
Company - Public
Industry
Internet
Sector
Information Technology
Revenue
$10+ billion (USD)
Visit Amazon Web Services Hong Kong Website","3.8
★★★★★
72 %
Recommend to a friend
81 %
Approve of CEO
23828 Ratings","Bachelor’s degree, in Computer Science, Engineering, Mathematics or a related field or equivalent professional or military experience
8+ years of experience of IT platform implementation in a technical and analytical role
5+ years of experience of Data Lake/Hadoop platform implementation
3+ years of hands-on experience in implementation and performance tuning Hadoop/Spark implementations.
Experience Apache Hadoop and the Hadoop ecosystem
Experience with one or more relevant tools (Sqoop, Flume, Kafka, Oozie, Hue, Zookeeper, HCatalog, Solr, Avro)
Experience with one or more SQL-on-Hadoop technology (Hive, Impala, Spark SQL, Presto)
Experience developing software code in one or more programming languages (Java, Python, etc)
Are you a Data Analytics specialist? Do you have Data Warehousing, Hadoop/Data Lake experience? Do you like to solve the most complex and high scale (billions + records) data challenges in the world today? Do you like to work on-site in a variety of business environments, leading teams through high impact projects that use the newest data analytic technologies? Would you like a career path that enables you to progress with the rapid adoption of cloud computing?
At Amazon Web Services (AWS), we’re hiring highly technical cloud computing architects to collaborate with our customers and partners on key engagements. Our consultants will develop, deliver and implement AI, IOT, and data analytics projects that help our customers leverage their data to develop business insights. These professional services engagements will focus on customer solutions such as Machine Learning, IoT, batch/real-time data processing, Data and Business intelligence.
This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed.


Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.
Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.
Pursuant to the Los Angeles Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

#AWSGCR
#GCRPROSERVE
Show More",NA
446,4.0,Build King Holdings Ltd,Assistant Engineer - Civil (Ref:CT/AE),Hong Kong,"Company Overview
Size
1001 to 5000 Employees
Founded
1980
Type
Company - Private
Industry
Construction
Sector
Construction, Repair & Maintenance
Revenue
$500 million to $1 billion (USD)
Visit Build King Holdings Ltd Website","4.0
★★★★★
60 %
Recommend to a friend
86 %
Approve of CEO
7 Ratings","BUILD KING HOLDINGS LIMITED is the Public Listed Company in the main board and we are one of the leading construction groups in Hong Kong. To cope with our business growth, we invite applications for:

Job Description

Higher Diploma or above in Civil Engineering or related disciplines;

1 year practical experience in construction;

Good command of written and spoken English and Chinese;

Good communication skills;

Fresh Graduate / IANG Holder will also be considered.

Please send your application with full resume and expected salary to Human Resources Department, Units 601-605A, 6/F, Tower B, Manulife Financial Centre, 223 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong (please quote the job reference number and job title on the subject) or by clicking Job Application or ""APPLY NOW"".

Please visit our website www.buildking.hk for more details.

(Personal data collected will be used for recruitment-related purposes only.)

Full-time,Permanent
Show More",HK$234K - HK$288K (Glassdoor Est.)
447,5.0,Pinpoint Asia,Big Data Architect,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pinpoint Asia Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","My client, a leading financial institution, is looking for a Big Data Architect to join their enterprise technology team. Selected candidate will be leading the development of Big Data Technology. Exciting opportunity to get into the hottest technology space for the next decade.
Responsibilities:
– Act as the Big Data Expertise to provide technical insight and advice on Big Data technology implementation and adoption.
– Work with the IT team on technical plans, development, software strategy and deployment of new technology products.
– Understand the requirements and specification from the business stakeholders. Deliver the solution proposals, architecture, and design.
– Work with the engineering team to design the technical details and features of the Big Data platform. Design the technology roadmaps for future scalability.
– Provide real world insight and recommendations to business, where the Big Data platform can be driving a greater value for the future business.








Show More",NA
448,NA,TBM The Beauty Medical,Data Analyst,Hong Kong,NA,NA,"The Beauty Medical (簡稱TBM) 成立於2005年,致力發展醫學美容業務,提供一站式專業醫學美容、高效瘦身管理及生活美容服務。我們擁有豐富經驗的專業醫生團隊,並從國外引入各種嶄新先進的高能量美容儀器及技術。The Beauty Medical 更為顧客度身訂造獨一無二的高端美容療程服務,務求全力打造專業醫美品牌形象。由成立至今,The Beauty Medical 已於中港兩地坐擁近30間全資美容中心,發展一日千里,雄厚實力毋庸置疑。

The Data Analyst will work with leadership to set TBM strategy, align teams around the strategy, and collaborate with business partners to deliver on it. This role will have the opportunity to collaborate with various business units in both Hong Kong and China to run deep analyses, apply structured thinking to critical business questions, generate insights, and develop strategic initiatives to improve the Company’s operations. You will responsible for target database list generation, data extraction, campaign tracking, business performance reporting, customer data analysis and provide fact-based data driven insights on customer behavior to support and drive business initiatives.

Your role

Perform data extraction to fulfill marketing programs’ requirements

Compile regular and customized reports related to business performance, service usage and customer analysis

Apply statistical modeling to identify business opportunities and areas for improvement

Perform campaign tracking, assist in execution of standard data mapping jobs and verify data sets

Reveal and uncover insights by exploring and mining structured and unstructured data

Provide ongoing database support for segment marketing activities with well mechanism in maintaining an accurate and up-to-date database

Conduct user acceptance test of in-house-developed applications, as well as develop supervised and unsupervised machine learning models

Apply analytical methods and algorithms to build data products that generate business insights and improve operational efficiency

To succeed in this role

University graduate in Statistics, Computer Science, Information Technology, Data Science, Engineering or other relevant disciplines

1 - 3 years' working experience in programming, data extraction, MIS

Proficiency in relational databases - SQL, SAS, VBA and FoxPro, with knowledge and experience on Cognos, Excel, Python, Java, Java script

Practical experience in working with BI visualization tools (e.g. Qlik View, Qlik Sense, Tableau) is an advantage

Technical knowledge on different server operating systems is preferred

Good analytical and problem solving skills, able to work under tight timeline

Self-motivated and able to accomplish multiple tasks with minimal supervision

Good interpersonal and communication skills and able to work with people at all levels

Good command in both spoken and written English

Candidate with more experience will be considered for the position of Senior Data Analyst.

Please apply in confidence with full resume, expected salary and availability by clicking “Apply Now” button.

https://www.thebeauty.hk

The information provided will be used for selection purpose only. All information of unsuccessful applicants will be destroyed within six months.
Show More",NA
449,NA,Infotech Services,Senior Data Scientist,Kwun Tong,"Company Overview
Size
501 to 1000 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Infotech Services Website","5.0
★★★★★
N/A
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Serve a contract assignment under InfoTech's headcount, full-time second to serve a client with the public transport;
Plan and develop data management / analytics strategies and processes for internal business units to align business and data analytics requirements;
Manage a team of data engineers / analysts to conduct data visualization, develop quantitative models as well as leverage machine learning models to articulate solutions from business perspective;
Set up data analytic platform for algorithmic engines to run at scale;
Support data governance framework with best practices for data science / analytics workflows;
Work closely with internal stakeholders to sift through data, conduct analysis and derive business insights;
- Perform budgetary control and monitor variances for projects and system support activities in responsible areas. Yrs of Total Post-Quali Exp 8.0 Requirements - Degree in Data Science / Statistics / IT / Computer Science / Software Engineering or a related discipline;
Show More",HK$264K - HK$500K (Glassdoor Est.)
450,3.7,Société Générale,Junior Software Engineer,Hong Kong,"Company Overview
Size
10000+ Employees
Founded
1864
Type
Company - Public
Industry
Investment Banking & Asset Management
Sector
Finance
Revenue
$10+ billion (USD)
Visit Société Générale Website","3.7
★★★★★
74 %
Recommend to a friend
78 %
Approve of CEO
1672 Ratings","Responsibilities
Mission
We have launched a strategic program to transform 4 of our payment and cash management platforms in Asia (India, China, Hong Kong and Singapore).
To that end, we are building a fully decentralized IT team, with members in Hong Kong, India and China, who will be working together on a common backlog.
Some of the topics include:
o The replacement of legacy core banking systems in those locations, starting with India in 2022 with a new vendor software. This includes


Show More",NA
451,5.0,Pinpoint Asia,T24 Senior Software Engineer,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pinpoint Asia Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","We are working with a leading international bank with business across investment banking and private wealth management, where they are looking for a strong T24 Senior Developer to join their Trading Technology team. The selected candidate will be building next generation Core Banking platform for Asia. Great opportunity to join one of the leading banks globally.
Responsibilities:
– Manage and build the core banking platform including Term Deposit, Term Loan, Overnight Call Deposit, and Overnight Margin Loans.
– Lead the development of the new components for the T24 inclusive of services, data flows, business rules, interfaces etc.
– Design and developer the server-side and UI components which meet the business requirements.
– Go through the development lifecycle through design, development, operation, and production support.
– Involved in the system design of the applications and provide software development planning.
– Understand the technology platform and constantly improve the performance and reliability of the software.








Show More",HK$336K - HK$600K (Glassdoor Est.)
452,NA,Bluemont Consulting,(Senior) Data Analyst | Global Bank | Contract,Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Bluemont Consulting Website",NA,"Job Description
Understand the Data Requirements for regulatory requirements
Perform Data Analysis to develop data sourcing requirement
Exposure to regulatory/financial domain
Able to run complex SQL
Knowledge on GCP platform
Develop data quality rules and implement for data accuracy & Completeness
Ability to interpret and manipulate large data sets, data storage, ETL and data modelling
Proven experience in Data Analysis role with programming skills in Python


Show More",NA
453,NA,Aptitude Asia,Data Analyst Lead / Data Analyst - multi-strategies Hedge Fund,Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Aptitude Asia Website",NA,"Responsibilities
Responsible for data governance, inventory, acquisition, analysis and cleaning
Responsible for delivery and the construction of derived sets of data
Develop and implement tools to provide autonomy around the platforms data life-cycle
Maintain an inventory of the data estate
Implement the control workflow for representing data events
Work with the investment team to ensure their data-related requirements are captured and delivered
Maintain the health and efficiency of the firm's reference and market data stores
Show More",HK$180K - HK$428K (Glassdoor Est.)
454,4.0,Octopus Holdings Limited,Senior System Engineer / Analyst Programmer (International Projects),Hong Kong,"Company Overview
Size
51 to 200 Employees
Founded
2005
Type
Company - Public
Revenue
$25 to $50 million (USD)
Visit Octopus Holdings Limited Website","4.0
★★★★★
88 %
Recommend to a friend
100 %
Approve of CEO
6 Ratings","We operate one of the world's leading and most extensively accepted contactless smartcard payment systems, providing both offline and online payment services.

We have more than 18,000 service providers at some 25,000 retail outlets in the market across different businesses using Octopus payment platform. We have over 36 million Octopus cards in circulation. We handle 15 million transactions a day with transaction value exceeding HK$220 million .

Our Vision

To become the company most recognized for making Hong Kong a cashless society.

Our Mission

To make everyday life easier for our customers by applying innovative ideas through secure and robust technology.

Our Company

Our people are our most important asset. We respect each other, embrace collaboration, innovation and partnership. Come join us and make an impact to the future payment society!


Lead a small team to perform Requirement Gathering & Analysis, Process & System Design, Development, Testing, Release Management and Maintenance of automated fare collection (AFC) systems

Review and prepare documentations such as functional specification, technical specification and test plan

Ensure on-time and quality delivery

Fulfil subsequent system changes and post-launch support duties

Fulfil system maintenance and support duties to clients


Bachelor’s Degree in Computer Science, Information Technology, MIS or equivalent

Minimum 5 years of experience in IT industry with focus on information system design and development

Good knowledge in object-oriented programming language or functional programming. Strong core Java programming skill would be an advantage

Knowledgeable in web or mobile application development
Knowledgeable in RDBMS such as Oracle

Familiar with Linux environment

Knowledge and experience in any one of followings would be an advantage:

a. Web application framework (e.g. React, AngularJS, Bootstrap)

b. Java web services framework (e.g. Spring MVC, JAX-RS)

c. Experience in database programming (PL/SQL, Transact-SQL), or NoSQL database such as MongoDB, Cassandra

d. Business Intelligence development such as Cognos and Data Mart

e. VM setup using Vagrant and shell script programming

Demonstrate effective leadership and analytical skills

Client facing and overseas project experience would be an advantage

Good team player with strong trouble shooting skills

Effective communication skills in both verbal and written English

Candidate with less experience will be considered as System Engineer / Analyst Programmer

We offer successful candidate an attractive remuneration package and excellent career prospects. Interested parties please send your resume, present and expected salary, contact details and quoting the reference number by e-mail: [email redacted, apply via Company website]

http://www.octopus.com.hk

Personal data collected will be used for recruitment purpose only. If you are not contacted within six weeks, you may consider your application unsuccessful. Our Company will retain your application for a maximum of one year.

Octopus is an equal opportunity employer and all employment decisions and Human Resources policies are administered; especially those relating to recruitment & selection, compensation & benefits, promotion & transfer, training & development and termination & redundancy; without discrimination on the basis of age, race, colour, religion, sex, national origin, marital status, pregnancy, physical and mental disability and family status but on genuine occupational qualification, job performance, employees’ ability and internal/ external relativities.

Full-time,Permanent
Show More",NA
455,3.7,BNP Paribas,"Data Analyst, IG Hub APAC",Hong Kong,"Company Overview
Size
10000+ Employees
Founded
2000
Type
Company - Public
Industry
Banks & Credit Unions
Sector
Finance
Revenue
$10+ billion (USD)
Visit BNP Paribas Website","3.7
★★★★★
75 %
Recommend to a friend
88 %
Approve of CEO
1779 Ratings","In Asia Pacific, BNP Paribas is one of the best-positioned international financial institutions with an uninterrupted presence since 1860. Currently with over 18,000 employees* and a presence in 13 markets, BNP Paribas provides corporates, institutional and private investors with product and service solutions tailored to their specific needs. It offers a wide range of financial services covering corporate & institutional banking, wealth management, asset management, insurance, as well as retail banking and consumer financing through strategic partnerships.

Worldwide, BNP Paribas has a presence in 68 markets with more than 193,000 employees. It has key positions in its three main activities: Domestic Markets and International Financial Services (whose retail-banking networks and financial services are covered by Retail Banking & Services) and Corporate & Institutional Banking, which serves two client franchises: corporate clients and institutional investors. Asia Pacific is a key strategic region for BNP Paribas and it continues to develop its franchise in the region.














Show More",NA
456,4.0,Build King Holdings Ltd,Design Engineer - H/O (ref: CT/DE),Hong Kong,"Company Overview
Size
1001 to 5000 Employees
Founded
1980
Type
Company - Private
Industry
Construction
Sector
Construction, Repair & Maintenance
Revenue
$500 million to $1 billion (USD)
Visit Build King Holdings Ltd Website","4.0
★★★★★
60 %
Recommend to a friend
86 %
Approve of CEO
7 Ratings","BUILD KING HOLDINGS LIMITED is one of the leading construction groups in Hong Kong. To cope with our business growth, we invite applications for:

Responsibilities:
Prepare temporary/permanent works design submission;

Prepare temporary works method statement;

Liaison with the construction team and the resident site staff for the preparation and approval of the design submission;

Assist Engineering manager/Design manager to manage and coordinate design consultants and independent checking engineer (ICE);

Coordinate temporary works design preparation and temporary works implication.


5 years solid design experience;

At least 3 years on site experience;

Chartered Engineer with Corporate membership of HKIE is an advantage;

Experience in general civil/structural engineering design, particular in ELS design, false-work design and earthwork design;

Familiarity with programming software will be an advantage;

Early availability may be an advantage.

Please send your application with full resume and expected salary to Human Resources Department, Units 601-605A, 6/F, Tower B, Manulife Financial Centre, 223 Wai Yip Street, Kwun Tong, Kowloon, Hong Kong or click ""APPLY NOW"". (Please quote the job reference number and job title on the subject)

Please visit our website www.buildking.hk for more details.

(Personal data collected will be used for recruitment-related purposes only.)

Full-time,Permanent
Show More",HK$246K - HK$300K (Glassdoor Est.)
457,5.0,Pinpoint Asia,Security Engineer (Cryptography),Hong Kong,"Company Overview
Size
1 to 50 Employees
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Pinpoint Asia Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Our client, a leading investment bank is looking for a Security Engineer to manage their Security Cryptography products as well as providing advice to the application team. Great regional exposure and an opportunity to join a leading investment bank.
Responsibilities:
– Act as the SME to on view cryptography products including OpenSSL, PKI, Code Signing etc.
– Provide advisory on implementing cryptography solutions for the applications platform.
– Provide Level 3 support and act as the SME for different cryptography solutions.
– Maintain and manage the security infrastructure which hosts HSM, Cryptography, Code Signing etc on Linux / Windows platform.
– Ensure a secure environment for the whole cryptography infrastructure.
Requirements:
– At least 8 years of experience in the IT Security space, preferably with working knowledge and experience in Public Key Infrastructure.
– Extensive experience and knowledge on Unix/Linux platform, ideally with Red Hat Linux.
– Knowledge in Certificate Management, Code Signing, HSM, Cryptography, Key Management.
– Strong interest in cryptography technologies.
– Excellent communication skills both written and oral in English.
– Security Certificates in CISSP or equivalent is a great plus
– Bachelor’s Degree in Computer Science or related field from a reputable University.


Show More",NA
458,NA,中國通海國際金融,Data Analyst,Hong Kong,NA,"3.9
★★★★★
75 %
Recommend to a friend
91 %
Approve of CEO
389 Ratings","Job Responsibilities
Responsible for building and maintaining data warehouse
Responsible for full data analytical cycles including data collection, ETL, data mining and reporting
Generate insights from data analysis for different areas such as market trend and customer behavior
Translate data insights into meaningful reports in BI dashboard/tools to all levels of the organization
Work with business teams for ad-hoc and regular reporting and data retrieval
Job Requirements


Show More",NA
459,5.0,Match Talent,Data Scientist (Financial Services),Hong Kong,"Company Overview
Size
Unknown
Type
Company - Private
Revenue
Unknown / Non-Applicable
Visit Match Talent Website","5.0
★★★★★
100 %
Recommend to a friend
N/A
Approve of CEO
0 Ratings","Responsibilities:
Translate business problems into data science projects that can be resolved using analytical techniques and mathematical modeling
Plan and execute the development of analytical/machine learning solutions from initial design to model development, model validation, implementation, prototyping and testing.
Break down business problems and recompose them in formulations that are solvable by analytical techniques and modelling
Work with data analysts and engineers to identify, process and wrangle the data
Evaluate experiment outcomes to draw actionable conclusions
Present key findings and actionable recommendations to senior management and other stakeholders
Show More",NA
